iter	Passed	Remaining
963	16220	25845
964	16236	25826
965	16251	25807
966	16268	25791
967	16283	25771
968	16299	25753
969	16315	25734
970	16333	25719
971	16348	25699
972	16365	25683
973	16384	25669
974	16401	25653
975	16420	25639
976	16436	25622
977	16454	25607
978	16472	25591
979	16489	25574
980	16505	25557
981	16519	25536
982	16536	25520
983	16552	25502
984	16568	25482
985	16585	25467
986	16604	25453
987	16622	25438
988	16641	25424
989	16655	25403
990	16673	25388
991	16691	25373
992	16709	25358
993	16725	25341
994	16742	25324
995	16759	25308
996	16775	25289
997	16794	25275
998	16810	25257
999	16829	25244
1000	16846	25228
1001	16865	25213
1002	16883	25199
1003	16901	25183
1004	16915	25162
1005	16933	25148
1006	16950	25131
1007	16966	25112
1008	16983	25097
1009	17000	25080
1010	17018	25065
1011	17035	25048
1012	17051	25029
1013	17064	25008
1014	17082	24991
1015	17100	24977
1016	17118	24962
1017	17135	24946
1018	17153	24930
1019	17170	24914
1020	17189	24899
1021	17205	24883
1022	17222	24866
1023	17238	24847
1024	17255	24831
1025	17273	24816
1026	17290	24799
1027	17304	24778
1028	17323	24763
1029	17339	24746
1030	17356	24730
1031	17371	24710
1032	17388	24693
1033	17404	24675
1034	17422	24661
1035	17440	24645
1036	17458	24629
1037	17474	24613
1038	17492	24596
1039	17509	24580
1040	17527	24565
1041	17542	24545
1042	17561	24532
1043	17576	24513
1044	17592	24494
1045	17608	24476
1046	17625	24460
1047	17642	24443
1048	17658	24425
1049	17674	24407
1050	17691	24390
1051	17709	24376
1052	17730	24364
1053	17747	24348
1054	17765	24332
1055	17779	24312
1056	17794	24293
1057	17809	24273
1058	17826	24257
1059	17844	24241
1060	17860	24223
1061	17876	24205
1062	17893	24188
1063	17912	24175
1064	17927	24156
1065	17943	24137
1066	17961	24122
1067	17977	24104
1068	17994	24088
1069	18013	24073
1070	18032	24059
1071	18047	24041
1072	18065	24025
1073	18082	24008
1074	18099	23992
1075	18118	23977
1076	18134	23960
1077	18149	23941
1078	18169	23928
1079	18186	23911
1080	18205	23897
1081	18223	23882
1082	18241	23866
1083	18259	23851
1084	18276	23835
1085	18294	23820
1086	18311	23803
1087	18328	23786
1088	18346	23771
1089	18365	23757
1090	18381	23739
1091	18399	23724
1092	18417	23708
1093	18435	23693
1094	18452	23676
1095	18471	23662
1096	18488	23646
1097	18506	23630
1098	18524	23614
1099	18538	23594
1100	18555	23577
1101	18572	23560
1102	18586	23540
1103	18601	23520
1104	18618	23505
1105	18637	23490
1106	18654	23473
1107	18673	23460
1108	18691	23444
1109	18707	23427
1110	18724	23410
1111	18741	23392
1112	18759	23377
1113	18775	23360
1114	18790	23341
1115	18805	23321
1116	18823	23305
1117	18838	23286
1118	18855	23270
1119	18873	23254
1120	18892	23240
1121	18910	23224
1122	18926	23207
1123	18941	23188
1124	18959	23172
1125	18975	23155
1126	18993	23139
1127	19010	23123
1128	19026	23104
1129	19043	23088
1130	19061	23072
1131	19077	23055
1132	19094	23038
1133	19112	23022
1134	19129	23006
1135	19144	22986
1136	19161	22970
1137	19179	22954
1138	19195	22936
1139	19213	22920
1140	19228	22902
1141	19245	22885
1142	19264	22871
1143	19282	22856
1144	19298	22838
1145	19315	22821
1146	19332	22804
1147	19350	22788
1148	19367	22772
1149	19381	22752
1150	19398	22735
1151	19414	22718
1152	19432	22702
1153	19447	22682
1154	19465	22667
1155	19483	22652
1156	19500	22635
1157	19518	22620
1158	19534	22601
1159	19550	22583
1160	19569	22570
1161	19586	22553
1162	19603	22536
1163	19620	22520
1164	19635	22500
1165	19652	22484
1166	19666	22464
1167	19681	22445
1168	19699	22429
1169	19714	22410
1170	19733	22396
1171	19748	22377
1172	19762	22356
1173	19776	22337
1174	19792	22319
1175	19809	22302
1176	19826	22285
1177	19843	22269
1178	19859	22251
1179	19876	22234
1180	19890	22215
1181	19908	22198
1182	19926	22183
1183	19943	22167
1184	19960	22149
1185	19977	22133
1186	19995	22118
1187	20011	22100
1188	20027	22082
1189	20044	22065
1190	20061	22049
1191	20077	22031
1192	20094	22014
1193	20108	21994
1194	20126	21978
1195	20143	21962
1196	20161	21947
1197	20179	21931
1198	20196	21914
1199	20212	21896
1200	20229	21880
1201	20246	21863
1202	20265	21849
1203	20283	21833
1204	20298	21814
1205	20315	21798
1206	20333	21781
1207	20351	21766
1208	20368	21750
1209	20383	21731
1210	20397	21711
1211	20415	21695
1212	20433	21679
1213	20450	21663
1214	20469	21649
1215	20488	21633
1216	20503	21615
1217	20520	21598
1218	20535	21579
1219	20552	21562
1220	20568	21545
1221	20584	21527
1222	20600	21510
1223	20615	21491
1224	20632	21474
1225	20650	21458
1226	20670	21444
1227	20689	21430
1228	20707	21414
1229	20726	21400
1230	20742	21382
1231	20759	21366
1232	20778	21351
1233	20795	21334
1234	20812	21317
1235	20828	21300
1236	20845	21283
1237	20863	21267
1238	20879	21250
1239	20896	21233
1240	20914	21217
1241	20931	21200
1242	20948	21184
1243	20966	21168
1244	20981	21150
1245	20996	21131
1246	21011	21112
1247	21026	21094
1248	21044	21078
1249	21062	21062
1250	21075	21041
1251	21089	21022
1252	21107	21006
1253	21121	20986
1254	21137	20969
1255	21155	20953
1256	21173	20937
1257	21188	20918
1258	21205	20902
1259	21223	20886
1260	21240	20869
1261	21259	20854
1262	21275	20837
1263	21290	20818
1264	21308	20803
1265	21326	20787
1266	21341	20768
1267	21357	20751
1268	21375	20735
1269	21390	20716
1270	21404	20697
1271	21420	20679
1272	21436	20662
1273	21454	20645
1274	21471	20629
1275	21489	20613
1276	21505	20596
1277	21524	20580
1278	21540	20563
1279	21557	20547
1280	21575	20530
1281	21591	20513
1282	21605	20494
1283	21622	20477
1284	21640	20461
1285	21657	20445
1286	21673	20427
1287	21688	20408
1288	21706	20393
1289	21726	20379
1290	21744	20363
1291	21762	20347
1292	21780	20331
1293	21796	20314
1294	21816	20300
1295	21834	20284
1296	21851	20268
1297	21869	20251
1298	21884	20233
1299	21901	20216
1300	21919	20201
1301	21935	20183
1302	21950	20165
1303	21968	20148
1304	21982	20130
1305	21999	20112
1306	22017	20097
1307	22034	20080
1308	22052	20064
1309	22068	20046
1310	22087	20032
1311	22102	20013
1312	22121	19998
1313	22138	19981
1314	22154	19963
1315	22170	19946
1316	22188	19931
1317	22205	19914
1318	22220	19895
1319	22238	19879
1320	22257	19864
1321	22274	19848
1322	22289	19829
1323	22307	19813
1324	22321	19794
1325	22339	19778
1326	22357	19762
1327	22376	19747
1328	22391	19729
1329	22406	19711
1330	22424	19695
1331	22439	19676
1332	22456	19659
1333	22472	19642
